Link,Name,Rating,Review_title,Review
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Kimberly D,5.0 out of 5 stars,Nice charger,It works well for my iPhone 13. It charges fast. The trick is to place it on the charger correctly. I think the ones complaining about it not working are not placing it on the charger properly. I love the black color and the light is unobtrusive but I can still tell when it is charging. These are wonderful!
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Peter R.,4.0 out of 5 stars,Product delivers!,Just make sure you know what side is up! LOL
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,AmyCabo,4.0 out of 5 stars,Convenient,"So easy to use!!!!
But does not work with all phones. And won't work with some cases. So do your research"
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Fluff,3.0 out of 5 stars,Not as advertised,"I purchased these to have multiple wireless charges in multiple locations...1 in office and 1 next to bed. They did not have the Fast charging capability or charge my Samsung Galaxy Earbuds to full capacity. It took hours to charge my phone and did not work through the case I had on my phone.

The case was just a cheap little plastic thing that I've had for years and the charging capability did not penetrate.

They DID charge, just not as advertised hence the 3 out 5 rating.

These items were returned.

Return process was easy as pie though!"
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,RJ,5.0 out of 5 stars,Works like a charm,Works perfectly as advertised. Make sure you use a fast charging usb wall adapter for the full fast charging experience. Charged my iphone 13 from 30% to 100% in less than 45 minutes. 5 stars.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Michael Jaros,5.0 out of 5 stars,Works like a charm,"I like the fact that I don't have to use the lightning portal, because mine won't stay in"
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Caffeine mama,4.0 out of 5 stars,Phone charger,"It's good enough for the price I paid, but super slow charge compared to the one that comes with iPhone."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon Customer,5.0 out of 5 stars,Small learning curve but great product,I got this charger because I was sick if trying to plug my iPhone cable into my phone past a thick otter box. I would suggest if you are one to watch a lot of YouTube videos you'll want a 10 foot cable. But this works great.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Jorge Fernandez,4.0 out of 5 stars,Practico.,"Hubiera pagado mas , si incluyera el cargador. Debi hacer otra orden y esperar un nuevo envio."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Nic B.,5.0 out of 5 stars,Works,Works just like they should
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Mjk4NjE3Mzc5NTYxMToxNjkzODU1NDIyOnNwX2F0ZjozMDAwMTE2NTc0MzY4MDI6OjA6Og&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693855422%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Exavier,5.0 out of 5 stars,Love it,Work great
